cluster_kmeans,train,val,test,train_pct,val_pct,test_pct,total,test_train_ratio
9,1589,198,199,16.823716251985175,16.779661016949152,16.850127011007622,1986,1.0015697933237275
1,1361,170,170,14.409740603493912,14.40677966101695,14.394580863674852,1701,0.9989478826035726
3,1345,168,168,14.240338803599789,14.237288135593221,14.225232853513972,1681,0.9989391439885447
4,1109,139,139,11.741662255161462,11.779661016949152,11.769686706181202,1387,1.0023866679201026
7,733,91,92,7.760719957649551,7.711864406779662,7.790008467400508,916,1.003773813014381
5,719,90,90,7.6124933827421915,7.627118644067797,7.620660457239628,899,1.0010727199373637
8,714,89,89,7.559555320275278,7.5423728813559325,7.535986452159187,892,0.9968821095951259
0,700,88,88,7.4113287453679195,7.457627118644068,7.451312447078746,876,1.0053948080957829
6,669,84,83,7.083112758073054,7.118644067796611,7.027942421676546,836,0.992210863995566
2,506,63,63,5.357331921651667,5.338983050847458,5.334462320067739,632,0.9957309724972482
